Title,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
Scary Godmother: Halloween Spooktakular,Ezekiel Norton,"Jill Thompson, Heath Corson, Gavin Blair",330859,3,0.0,2012,2000,Not Rated,1202,6.5,"Animation, Comedy"
Troy,Wolfgang Petersen,"Homer, David Benioff",332452,1,0.0,2010,2000,R,556898,7.3,Drama
Cellular,David R. Ellis,"Larry Cohen, Chris Morgan",337921,3,0.0,2011,2000,PG-13,104123,6.5,"Action, Crime, Thriller"
Camp,Todd Graff,Todd Graff,342167,3,0.0,2013,2000,PG-13,6102,6.2,"Comedy, Musical, Drama"
Sky Captain and the World of Tomorrow,Kerry Conran,Kerry Conran,346156,3,0.0,2010,2000,PG,86680,6.1,"Action, Adventure, Mystery"
Alexander,Oliver Stone,"Oliver Stone, Christopher Kyle, Laeta Kalogridis",346491,1,0.0,2014,2000,R,174236,5.6,"Action, Biography, Drama"
"Five Obstructions, The","Jørgen Leth, Lars von Trier","Sophie Destin, Asger Leth, Jørgen Leth",354575,0,0.0,2010,2000,Unrated,9055,7.4,Documentary
"Science of Sleep, The",Michel Gondry,Michel Gondry,354899,3,0.0,2011,2000,R,70414,7.2,"Comedy, Drama, Fantasy"
A Cinderella Story,Mark Rosman,Leigh Dunlap,356470,3,0.0,2010,2000,PG,91972,5.9,"Comedy, Family, Romance"
"Family Stone, The",Thomas Bezucha,Thomas Bezucha,356680,3,0.0,2022,2000,PG-13,71671,6.3,"Comedy, Drama, Romance"
Valiant,Gary Chapman,"George Webster, Jordan Katz, George Melrod",361089,1,0.0,2014,2000,G,23990,5.5,"Animation, Adventure, Comedy"
2LDK,Yukihiko Tsutsumi,"Yuiko Miura, Yukihiko Tsutsumi",362387,3,0.0,2011,2000,Not Rated,3842,6.8,"Comedy, Drama, Horror"
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",Andrew Adamson,"Ann Peacock, Andrew Adamson, Christopher Markus",363771,3,0.0,2010,2000,PG,416176,6.9,"Adventure, Family, Fantasy"
Shaun of the Dead,Edgar Wright,"Simon Pegg, Edgar Wright",365748,3,0.0,2010,2000,R,580192,7.9,"Comedy, Horror"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Daisuke Nishio, Hirotoshi Rissen, Leiji Matsumoto","Thomas Bangalter, Cédric Hervet, Guy-Manuel De Homem-Christo",368667,0,0.0,2013,2000,Not Rated,15307,7.8,"Animation, Adventure, Music"
Adam &amp; Steve,Craig Chester,Craig Chester,372122,3,1.0,2013,2000,R,3239,5.8,"Comedy, Drama, Music"
Kill Bill: Vol. 2,Quentin Tarantino,"Quentin Tarantino, Uma Thurman",378194,3,0.0,2009,2000,R,786141,8,"Action, Crime, Thriller"
"Perfect Man, The",Mark Rosman,"Michael McQuown, Heather Robinson, Katie Torpey",380623,3,0.0,2017,2000,PG,31697,5.4,"Comedy, Family, Romance"
Cargo,"Ivan Engler, Ralph Etter","Arnold Bucher, Ivan Engler, Patrik Steinmann",381940,3,0.0,2010,2000,N/A,19974,6.1,"Drama, Mystery, Sci-Fi"
Creep,Christopher Smith,Christopher Smith,381966,3,0.0,2013,2000,R,31249,5.6,"Horror, Mystery, Thriller"
